"Variable","Minimum","Q1","Median","Q3","Maximum","Lower_Bound","Upper_Bound","Outlier_Count","Outlier_Percent"
"Altitude_Meters",-276,460,966.5,1979.25,2956,-1818.875,4258.125,0,0
"Avg_Annual_Rainfall_MM",493,771,923.5,1104.5,1414,270.75,1604.75,0,0
"Soil_Organic_Matter_Percent",34,63.6,72.55,81.2,99.2,37.2,107.6,1,0.33
"Avg_Temperature_Celsius",7,15,20,23,29,3,35,0,0
"Water_Source_Reliability_Index",40,64.75,75.5,85.25,100,34,116,0,0
"Organic_Certification_Status",0,0,0,1,1,-1.5,2.5,0,0
"Traditional_Methods_Adherence_Score",2,6,7,9,10,1.5,13.5,0,0
"Post_Harvest_Processing_Tech_Level",1,3,4,5,5,0,8,0,0
"Avg_Farm_Size_Hectares",0.5,3.59342304059876,6.4273057859577,12.9602031510391,19.8640809980589,-10.4567471250618,27.0103733166997,0,0
"Access_To_Electricity_Percent",13,63,79,90,100,22.5,130.5,6,2
"Storage_Capacity_Index",18,50,66,79,100,6.5,122.5,0,0
"Artisan_Skills_Training_Hours_Avg",0,14,23,33.25,55,-14.875,62.125,0,0
"Cooperative_Membership_Rate_Percent",23,50,59,70.25,100,19.625,100.625,0,0
"Avg_Literacy_Rate_Percent",22,59,70,78,98,30.5,106.5,1,0.33
"Youth_Engagement_Rate_Percent",0,28,40.5,54.25,82,-11.375,93.625,0,0
"Distance_To_Major_Market_KM",10,59,135,232.75,404,-201.625,493.375,0,0
"Road_Infrastructure_Quality_Score",1,3,3,4,5,1.5,5.5,22,7.33
"Online_Sales_Channel_Usage_Percent",0,11,26,49,100,-46,106,0,0
"Local_Demand_Index",40,66,77.5,86.25,100,35.625,116.625,0,0
"Export_Potential_Score",1,3,4.5,7,10,-3,13,0,0
